Time,NVMe_from_ceph,NVMe_from_transfer,NVMe_total_util,CPU,CPU_count,Goodput,Memory_total,Memory_used,NIC_speed,Packet_losses,Storage_count,network_throughput,num_workers,,
26:08.7,0,1068723405,3.0672,3.514666667,12,1076426008,8589934592,493887488,1E+11,301.6666667,8,1089727729,100,,2807579573
26:23.7,0,2861204953,5.234104621,5.771663462,12,2232243531,8589934592,493887488,1E+11,238.8119074,8,2589367262,100,,3411843962
26:38.7,0,3188077131,5.247569887,5.655024469,12,3310487620,8589934592,490323968,1E+11,38.0773614,8,3243405677,100,,5046888662
26:53.7,0,1713658266,4.087866667,4.518666667,12,1858128555,8589934592,490323968,1E+11,37,8,1860605992,100,,3636378006
27:08.7,0,3147745143,5.709266667,5.953333333,12,3169334746,8589934592,492945408,1E+11,41.33333333,8,3092043900,100,,4440969296
27:23.7,0,1847864251,3.968767184,4.567689431,12,1578019740,8589934592,492945408,1E+11,43.27504674,8,1994033778,100,,3180876412
27:38.7,0,3037055556,5.371223022,5.70461278,12,3134660335,8589934592,493780992,1E+11,31.90859077,8,2983723919,100,,4668821715
27:53.7,0,2271920674,4.684866667,5.094666667,12,1709277082,8589934592,493780992,1E+11,58.86666667,8,2267936312,100,,2918805940
28:08.7,0,1958013619,3.895993066,4.513767585,12,2589824614,8589934592,492068864,1E+11,43.73624908,8,2050461156,100,,5317924484
28:23.7,0,2655036156,5.10379308,5.502166522,12,2202426436,8589934592,492068864,1E+11,75.66162256,8,2658395002,100,,3452219009
28:38.7,0,3037568885,5.495685396,5.809103485,12,3143659531,8589934592,493035520,1E+11,38.99611356,8,3093674330,100,,4576185577
28:53.7,0,1822378920,4.132465079,4.591537891,12,1463826850,8589934592,493035520,1E+11,43.52520413,8,1793972564,100,,2833808533
29:08.7,0,1696153600,3.6778,4.237333333,12,2328572860,8589934592,492998656,1E+11,46.46666667,8,1684354781,100,,5065142987
29:23.7,0,2584754324,4.791386092,5.269817988,12,2166489737,8589934592,492998656,1E+11,52.40349357,8,2779193904,100,,3617307718
29:38.7,0,2712491349,5.258933333,5.59,12,2740971930,8589934592,493883392,1E+11,49.86666667,8,2640043076,100,,4169624151
29:53.7,0,1741988900,3.74148719,4.3544754,12,1635887991,8589934592,493883392,1E+11,50.18770994,8,1774866795,100,,3497834756
30:08.7,0,2113545398,3.901538669,4.517073829,12,2210118690,8589934592,492552192,1E+11,43.05574302,8,2148065162,100,,4531788871
30:23.7,0,2204163857,4.682245483,5.06780452,12,2694024352,8589934592,492552192,1E+11,58.80392026,8,2272394320,100,,4602961314
30:38.7,0,2501724359,4.75314979,5.172855143,12,2619994574,8589934592,495046656,1E+11,51.99653356,8,2451764373,100,,4409698309
30:53.7,0,2100396941,4.587598586,5.007342943,12,1653262199,8589934592,495046656,1E+11,50.04079413,8,2128683902,100,,2883011089
31:08.7,0,1948092021,4.283623213,4.690201481,12,2313436160,8589934592,495046656,1E+11,43.74031341,8,1945740871,100,,4320522221
31:23.7,0,2800896781,5.163307254,5.553374884,12,2602672560,8589934592,494043136,1E+11,43.2303408,8,2936203156,100,,4032566620
31:38.7,0,1741126164,3.95039882,4.428044775,12,2184788827,8589934592,493019136,1E+11,46.71894899,8,1705611151,100,,4424442040
