Time,NVMe_from_ceph,NVMe_from_transfer,NVMe_total_util,CPU,CPU_count,Goodput,Memory_total,Memory_used,NIC_speed,Packet_losses,Storage_count,network_throughput,num_workers
2020-11-07 06:40:22.289999962,0.0,1836431.45404572,0.015351612254919598,1.5234966816315314,12.0,0.0,8589934592.0,39530496.0,100000000000.0,0.6703760809814306,8.0,7879195.079439566,8
2020-11-07 06:40:37.289999962,0.0,194909252.26666665,0.537199999999575,1.8106666666688398,12.0,361730679.6453097,8589934592.0,474628096.0,100000000000.0,3.6666666666666665,8.0,194217109.26666668,8
2020-11-07 06:40:52.289999962,0.0,637480786.6142257,1.6826211585893052,2.683687754153604,12.0,577619046.4,8589934592.0,474628096.0,100000000000.0,12.599160055996267,8.0,635861071.7952137,8
2020-11-07 06:41:07.289999962,0.0,536132237.0824722,1.40949396626415,2.51430095339115,12.0,603658376.5333333,8589934592.0,474914816.0,100000000000.0,11.867457830522035,8.0,536519562.5041669,8
2020-11-07 06:41:22.289999962,0.0,576054715.539494,1.555433660299847,2.646360351060742,12.0,604616123.7333333,8589934592.0,474914816.0,100000000000.0,10.518843572534847,8.0,597061903.0717604,8
2020-11-07 06:41:37.289999962,0.0,601307484.0399863,1.760634264047163,5.500172354367949,12.0,615442499.0333978,8589934592.0,475086848.0,100000000000.0,13.581523612547397,8.0,608631958.3591864,8
2020-11-07 06:41:52.289999962,0.0,627295528.974937,1.6715289749371942,2.84020686910732,12.0,494518003.86640894,8589934592.0,475086848.0,100000000000.0,12.995623922556689,8.0,629828226.2299429,8
2020-11-07 06:42:07.289999962,0.0,473918567.10014755,1.269204987263295,2.3692183938904816,12.0,483533646.6195493,8589934592.0,475140096.0,100000000000.0,10.658265183000402,8.0,477076420.36466014,8
2020-11-07 06:42:22.289999962,0.0,470734198.6473942,1.2789417849089664,2.4039252088605574,12.0,583277928.809492,8589934592.0,475140096.0,100000000000.0,11.802148256199443,8.0,469810994.8945763,8
2020-11-07 06:42:37.289999962,0.0,615752610.846685,1.6701079305490694,2.679225045242893,12.0,617436086.9449259,8589934592.0,475140096.0,100000000000.0,11.798619025273178,8.0,618599956.9618556,8
2020-11-07 06:42:52.289999962,0.0,593255628.8,1.602933333333446,2.6800000000007764,12.0,583004215.9712038,8589934592.0,472879104.0,100000000000.0,14.133333333333333,8.0,605796469.2,8
2020-11-07 06:43:07.289999962,0.0,603553149.790014,1.6633557762818996,2.60035997600548,12.0,580525659.4212562,8589934592.0,472879104.0,100000000000.0,13.06579561362576,8.0,606491865.5422972,8
2020-11-07 06:43:22.289999962,0.0,537027106.1333334,1.5065333333329665,2.519999999999224,12.0,466243959.4666667,8589934592.0,474664960.0,100000000000.0,15.266666666666667,8.0,529758203.0,8
2020-11-07 06:43:37.289999962,0.0,467699848.5333334,1.2644666666667035,2.437333333340939,12.0,565892164.2666667,8589934592.0,473542656.0,100000000000.0,11.533333333333333,8.0,495645438.73333335,8
2020-11-07 06:43:52.289999962,0.0,591405650.6463373,1.5957573748764353,2.6112031819625154,12.0,631666312.5333334,8589934592.0,473542656.0,100000000000.0,13.19191249585681,8.0,590858709.711634,8
2020-11-07 06:44:07.289999962,0.0,859625548.0756336,2.6817755129403187,3.2259621831789023,12.0,943524522.6666665,8589934592.0,475250688.0,100000000000.0,5.632291806356443,8.0,874759586.2277055,8
2020-11-07 06:44:22.289999962,0.0,1008618907.0061997,3.447903473101656,3.557629491374071,12.0,986204330.6666667,8589934592.0,475250688.0,100000000000.0,0.13332444503699753,8.0,1034479047.1968536,8
2020-11-07 06:44:37.289999962,0.0,1045692142.9333332,3.5327333333332107,3.5426666666637177,12.0,1115494263.4666667,8589934592.0,475361280.0,100000000000.0,0.9333333333333333,8.0,1052676485.2,8
2020-11-07 06:44:52.289999962,0.0,1077320094.4062939,3.560704046936655,3.801720114668413,12.0,929041612.8,8589934592.0,475361280.0,100000000000.0,0.20001333422228149,8.0,1090965376.2250817,8
2020-11-07 06:45:07.289999962,0.0,958650292.9125506,3.105284094675853,3.3344825300125494,12.0,1081830877.8666668,8589934592.0,475111424.0,100000000000.0,2.2541934628389577,8.0,964199292.9125506,8
2020-11-07 06:45:22.289999962,0.0,950570749.6145338,3.2547429107731527,3.5547362070044857,12.0,959003852.8000002,8589934592.0,475111424.0,100000000000.0,0.40222564858885834,8.0,916120208.0176979,8
2020-11-07 06:45:37.289999962,0.0,1042218885.6742884,3.363042463835779,3.5849610026049485,12.0,1034478387.2,8589934592.0,475131904.0,100000000000.0,0.599960002666489,8.0,1087951803.479768,8
2020-11-07 06:45:52.289999962,0.0,1051972629.6419761,3.5374358290555725,3.662377491829064,12.0,1069167957.3333334,8589934592.0,475131904.0,100000000000.0,0.0,8.0,1075135836.9891326,8
2020-11-07 06:46:07.289999962,0.0,1052195771.7333333,3.384733333332891,3.6846666666601475,12.0,1031076958.9403973,8589934592.0,474869760.0,100000000000.0,0.3333333333333333,8.0,1065787105.4,8
2020-11-07 06:46:22.289999962,0.0,1042283724.7999998,3.4702666666664292,3.61866666667241,12.0,1069545595.704698,8589934592.0,474869760.0,100000000000.0,1.2666666666666666,8.0,1049732338.7333333,8
2020-11-07 06:46:37.289999962,0.0,1066002568.5333334,3.4194000000000715,3.7619999999956546,12.0,1004653294.9333333,8589934592.0,474800128.0,100000000000.0,0.06666666666666667,8.0,1086606727.7333333,8
2020-11-07 06:46:52.289999962,0.0,982528819.1999999,3.2153333333335468,3.514000000001397,12.0,1034376533.3333333,8589934592.0,474800128.0,100000000000.0,1.9333333333333333,8.0,998616315.1333333,8
