Time,NVMe_from_ceph,NVMe_from_transfer,NVMe_total_util,CPU,CPU_count,Goodput,Memory_total,Memory_used,NIC_speed,Packet_losses,Storage_count,network_throughput,num_workers
2020-11-07 05:49:12.558000088,0.0,1756364.8,0.015199999999701203,1.472666666672255,12.0,0.0,8589934592.0,26841088.0,100000000000.0,0.26666666666666666,8.0,409810.93333333335,8
2020-11-07 05:49:27.558000088,0.0,65542007.46666667,0.18433333333305202,1.5940000000060537,12.0,300423031.4666667,8589934592.0,463982592.0,100000000000.0,1.4666666666666666,8.0,57829502.06666667,8
2020-11-07 05:49:42.558000088,0.0,646116490.3673089,1.6872875141660657,2.7170188654012124,12.0,596321177.6000001,8589934592.0,463982592.0,100000000000.0,10.932604493033798,8.0,656511008.7327511,8
2020-11-07 05:49:57.558000088,0.0,593723917.7827873,1.5848030765149332,2.598196525665439,12.0,607124623.6917539,8589934592.0,463896576.0,100000000000.0,12.863015515183662,8.0,587853260.7081288,8
2020-11-07 05:50:12.558000088,0.0,622799023.997855,1.6269607185950288,2.776779729175605,12.0,670594423.4666667,8589934592.0,463896576.0,100000000000.0,14.747285158868483,8.0,643331412.1195871,8
2020-11-07 05:50:27.558000088,0.0,720729691.3127542,1.8416561104068483,2.8343222881576664,12.0,684409651.2,8589934592.0,463896576.0,100000000000.0,11.400760050670044,8.0,720719097.4064938,8
2020-11-07 05:50:42.558000088,0.0,603567621.358576,1.5976268248788497,2.593027131521616,12.0,606953881.6,8589934592.0,462577664.0,100000000000.0,12.99913339110726,8.0,615560070.5286314,8
2020-11-07 05:50:57.558000088,0.0,638692196.7908765,1.709057154223929,2.673120275831508,12.0,612791803.1868792,8589934592.0,462577664.0,100000000000.0,13.791274366794854,8.0,633647536.0694867,8
2020-11-07 05:51:12.558000088,0.0,551112310.5182006,1.511832137829057,2.5806797613404964,12.0,571015816.5333333,8589934592.0,463056896.0,100000000000.0,11.731581417175036,8.0,567815454.7160957,8
2020-11-07 05:51:27.558000088,0.0,612590507.8328111,1.6634224385039464,2.639024065063416,12.0,639124002.1333333,8589934592.0,467304448.0,100000000000.0,11.132591160589294,8.0,620270171.655223,8
2020-11-07 05:51:42.558000088,0.0,806671701.3333333,2.129866666666688,2.9613333333322474,12.0,637629951.9999999,8589934592.0,467304448.0,100000000000.0,31.466666666666665,8.0,801561324.2,8
2020-11-07 05:51:57.558000088,0.0,588311929.0619375,1.5629041936130899,2.5816387759210335,12.0,764730914.1333333,8589934592.0,473497600.0,100000000000.0,25.60170678045203,8.0,598026855.790386,8
2020-11-07 05:52:12.558000088,0.0,818396442.0871179,2.2514088709144304,3.0500563548382686,12.0,843463359.5093662,8589934592.0,473497600.0,100000000000.0,38.4538884837234,8.0,821548753.8288139,8
2020-11-07 05:52:27.558000088,0.0,1361619073.870492,3.0164901461319458,3.731331277651628,12.0,2037233424.0949392,8589934592.0,477626368.0,100000000000.0,29.829735889529427,8.0,1241193904.2096796,8
2020-11-07 05:52:42.558000088,0.0,2849112337.0666666,5.194733333332988,5.583333333329453,12.0,3041300206.9333334,8589934592.0,477626368.0,100000000000.0,26.733333333333334,8.0,2864886807.2,8
2020-11-07 05:52:57.558000088,2184.5333333333333,3476643293.866667,6.127666666666725,6.423333333331781,12.0,2677083272.533334,8589934592.0,476766208.0,100000000000.0,70.4,8.0,3489649650.6,8
2020-11-07 05:53:12.558000088,0.0,2241150803.2623835,4.674623698694177,5.024070021885389,12.0,2936253098.6666665,8589934592.0,476766208.0,100000000000.0,54.439360785093825,8.0,2208996727.007493,8
2020-11-07 05:53:27.558000088,1097.020421827921,2559475624.238366,4.748376297288091,5.221292266484218,12.0,1993165653.3333333,8589934592.0,474021888.0,100000000000.0,59.05590893873451,8.0,2608474024.0374956,8
2020-11-07 05:53:42.558000088,0.0,2943673610.2509346,5.670248264815543,5.939802455957212,12.0,3674761898.6666665,8589934592.0,474021888.0,100000000000.0,48.45168179391351,8.0,3070548508.6091833,8
2020-11-07 05:53:57.558000088,2218.8145876391754,3076284428.561904,5.544169611307612,5.9705313687577615,12.0,2325547417.6000004,8589934592.0,474021888.0,100000000000.0,22.73484898993266,8.0,3081930828.121875,8
2020-11-07 05:54:12.558000088,0.0,3066233924.2666664,5.614333333332858,5.928666666666201,12.0,3254725836.8,8589934592.0,472805376.0,100000000000.0,49.733333333333334,8.0,3079669466.0666666,8
2020-11-07 05:54:27.558000088,2206.6038986871768,1295456004.2434688,3.018034743403216,3.653096406316174,12.0,695117277.8666668,8589934592.0,472805376.0,100000000000.0,964.7924678424612,8.0,1362125846.2405515,8
2020-11-07 05:54:42.558000088,0.0,279073016.7582786,0.9322295213835129,1.9214371899684122,12.0,300692275.2,8589934592.0,471367680.0,100000000000.0,183.5366671135541,8.0,254396436.98887253,8
2020-11-07 05:54:57.558000088,0.0,529425406.8395441,1.7221518565428253,2.4750349976665116,12.0,542252817.0666666,8589934592.0,471367680.0,100000000000.0,2213.5190987267515,8.0,524639106.12625825,8
2020-11-07 05:55:12.558000088,0.0,398301113.4075605,1.3316221081404187,2.1996133075538373,12.0,376202308.26666665,8589934592.0,469504000.0,100000000000.0,919.0612707513834,8.0,401992906.5937729,8
2020-11-07 05:55:27.558000088,0.0,493784390.9072729,1.635357642824004,2.5516965535643368,12.0,529233646.9333334,8589934592.0,472748032.0,100000000000.0,1483.1677888140791,8.0,538639086.3942404,8
