Time,NVMe_from_ceph,NVMe_from_transfer,NVMe_total_util,CPU,Goodput,Memory_used,NIC_speed,Packet_losses,network_throughput,num_workers
2021-07-30 08:59:05.358999968,38797312.00000001,3500657049.5999994,7.313600000005681,10.337999999895695,3633111859.2000003,8547106816.0,100000000000.0,0.6,3505620706.0,8
2021-07-30 08:59:20.358999968,38797312.00000001,3793090150.3999996,7.57280000001192,11.081999999843537,3527888076.8,8528760832.0,100000000000.0,0.4,3798702523.2,8
2021-07-30 08:59:35.358999968,69206016.0,2602191257.6000004,7.037599999998929,7.62599999960512,1385191014.4,8524513280.0,100000000000.0,0.4,2607100693.6,8
2021-07-30 08:59:50.358999968,69206016.0,3401700966.4,7.118399999995017,10.204000000096858,3486541414.4000006,8507334656.0,100000000000.0,0.4,3407730107.8,8
2021-07-30 09:00:05.358999968,69206016.0,3997088153.6,7.654399999999442,11.57600000016391,3659550719.9999995,8528273408.0,100000000000.0,0.4,4002815414.0,8
2021-07-30 09:00:20.358999968,69206016.0,3817236070.4,7.182400000002235,11.153999999165533,3524827545.6,8507572224.0,100000000000.0,0.4,3823170340.2,8
2021-07-30 09:00:35.358999968,69206016.0,3208778547.2000003,6.941600000008474,9.790000000409782,3523967385.6000004,8507944960.0,100000000000.0,0.4,3213460817.2,8
2021-07-30 09:00:50.358999968,69206016.0,3626380492.7999997,7.239200000010897,10.981999999843534,3514907852.7999997,8529817600.0,100000000000.0,0.4,3631931959.8,8
2021-07-30 09:01:05.358999968,69206016.0,3252914585.6000004,7.041599999985192,10.023999999277294,3327388057.6000004,8550031360.0,100000000000.0,0.4,3257617543.8,8
2021-07-30 09:01:20.358999968,69206016.0,3727370649.6,7.363999999989756,10.956000000238417,3571904512.0,8530137088.0,100000000000.0,0.6,3732776610.6,8
2021-07-30 09:01:35.358999968,139460608.0,2359384473.6,6.846399999997811,7.009999999590218,1324684083.2,8524132352.0,100000000000.0,0.4,2362396814.4,8
2021-07-30 09:01:50.358999968,139460608.0,508863283.2,4.636799999995856,0.8939999997615815,630195814.4,8502763520.0,100000000000.0,0.4,509405156.0,8
2021-07-30 09:02:05.358999968,139460607.99999997,619080908.8,5.313600000011502,1.032000000216067,607938969.6,8526675968.0,100000000000.0,0.4,619552136.6,8
2021-07-30 09:02:20.358999968,139460608.0,621001932.8000001,5.188799999997719,1.6119999995455145,802475212.8,8503001088.0,100000000000.0,0.4,622286871.8,8
2021-07-30 09:02:35.358999968,70254592.0,482616934.4000001,4.168800000002375,1.0119999995455147,420665753.6,8502927360.0,100000000000.0,0.4,483511153.8,8
2021-07-30 09:02:50.358999968,70254592.0,702441881.6,5.77359999998589,2.1840000009164218,802446540.8,8501248000.0,100000000000.0,0.4,703946281.6,8
2021-07-30 09:03:05.358999968,70254592.0,580889804.8,5.1519999999960415,1.6339999999850994,691069747.2,8521531392.0,100000000000.0,0.4,581005974.6,8
2021-07-30 09:03:20.358999968,70254592.0,411016396.79999995,3.3536000000021886,1.296000000089407,618353459.2,8499380224.0,100000000000.0,0.6,411613778.0,8
2021-07-30 09:03:35.358999968,35651584.0,2850839756.8,7.167199999990408,8.596000000089408,3797037056.0000005,8506941440.0,100000000000.0,0.4,2856503258.0,8
2021-07-30 09:03:50.358999968,35651584.0,3789860044.8,7.5232000000018155,10.966000000201166,3582908825.6,8524869632.0,100000000000.0,0.4,3795680435.0,8
2021-07-30 09:04:05.358999968,35664691.2,3921207296.0,7.579999999998835,11.329999999515712,3723506483.2000003,8544231424.0,100000000000.0,23.4,3926764321.4,8
2021-07-30 09:04:20.358999968,35651584.0,3825583718.4000006,7.4752000000095,11.275999999977646,3959851417.5999994,8524439552.0,100000000000.0,0.8,3831129569.0,8
2021-07-30 09:04:35.358999968,6298009.600000001,3649803059.2,7.324800000002141,10.709999999590218,3720949760.0,8523694080.0,100000000000.0,0.4,3654921361.4,8
2021-07-30 09:04:50.358999968,6291456.0,3508935884.7999997,7.392000000004191,10.336000000312923,3522667315.2,8523603968.0,100000000000.0,0.4,3514677478.2,8
2021-07-30 09:05:05.358999968,6298009.600000001,3765256192.0,7.259200000006241,11.071999999321994,3912340275.2,8524046336.0,100000000000.0,0.4,3770827837.0,8
2021-07-30 09:05:20.358999968,6291456.0,3765900083.2,7.3335999999952035,10.964000000059604,3752125235.2,8505085952.0,100000000000.0,0.4,3772402995.0,8
2021-07-30 09:05:35.358999968,214971187.20000002,3632335257.6000004,7.588799999997719,10.80800000000745,3487687475.2000003,8503603200.0,100000000000.0,0.4,3637667781.6,8
